DATE,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2015/02/13,50ETF购2015年9月2.25,认购,2.25,2015/09/23 00:00,0.2868
2015/02/13,50ETF购2015年9月2.30,认购,2.3,2015/09/23 00:00,0.2561
2015/02/13,50ETF购2015年9月2.35,认购,2.35,2015/09/23 00:00,0.2199
2015/02/13,50ETF购2015年9月2.40,认购,2.4,2015/09/23 00:00,0.2011
2015/02/13,50ETF沽2015年9月2.20,认沽,2.2,2015/09/23 00:00,0.0873
2015/02/13,50ETF沽2015年9月2.25,认沽,2.25,2015/09/23 00:00,0.1032
2015/02/13,50ETF沽2015年9月2.30,认沽,2.3,2015/09/23 00:00,0.1205
2015/02/13,50ETF沽2015年9月2.35,认沽,2.35,2015/09/23 00:00,0.1459
2015/02/13,50ETF沽2015年9月2.40,认沽,2.4,2015/09/23 00:00,0.1692
2015/02/13,50ETF购2015年3月2.45,认购,2.45,2015/03/25 00:00,0.0429
2015/02/13,50ETF沽2015年3月2.45,认沽,2.45,2015/03/25 00:00,0.1044
2015/02/13,50ETF购2015年4月2.45,认购,2.45,2015/04/22 00:00,0.075
2015/02/13,50ETF沽2015年4月2.45,认沽,2.45,2015/04/22 00:00,0.1275
2015/02/13,50ETF购2015年6月2.45,认购,2.45,2015/06/24 00:00,0.1189
2015/02/13,50ETF沽2015年6月2.45,认沽,2.45,2015/06/24 00:00,0.1571
2015/02/13,50ETF购2015年9月2.45,认购,2.45,2015/09/23 00:00,0.1735
2015/02/13,50ETF沽2015年9月2.45,认沽,2.45,2015/09/23 00:00,0.1964
2015/02/13,50ETF购2015年3月2.50,认购,2.5,2015/03/25 00:00,0.0294
2015/02/13,50ETF沽2015年3月2.50,认沽,2.5,2015/03/25 00:00,0.1345
2015/02/13,50ETF购2015年4月2.50,认购,2.5,2015/04/22 00:00,0.0576
2015/02/13,50ETF沽2015年4月2.50,认沽,2.5,2015/04/22 00:00,0.1554
2015/02/13,50ETF购2015年6月2.50,认购,2.5,2015/06/24 00:00,0.1007
